Indeks,Komentar,Komentar_bersih,normal_teks,Label,Label_Validator
H-130,Ketua KPU Adalah Saudara Kandung Soe Hok Gie,ketua kpu adalah saudara kandung soe hok gie,ketua kpu adalah saudara kandung soe hok gie,2,2
H-131,TV Dirusak Karena Pemberitaan Harga BBM Turun 200 Rupiah,tv dirusak karena pemberitaan harga bbm turun 200 rupiah,tv dirusak karena pemberitaan harga bbm turun 200 rupiah,2,2
H-132,USTAZ ARIFIN ILHAM MENINGGAL DUNIA,ustaz arifin ilham meninggal dunia,ustaz arifin ilham meninggal dunia,2,2
H-133,Gambar Judul Artikel Berjudul Penyewa VA Adalah Kader PKS,gambar judul artikel berjudul penyewa va adalah kader pks,gambar judul artikel berjudul penyewa va adalah kader pks,2,2
H-134,Pelintiran Konteks Video Prabowo Menari Sajojo,pelintiran konteks video prabowo menari sajojo,pelintiran konteks video Prabowo menari sajojo,2,2
H-135,Pekerja Lokal Tambang Nikel Tidak Boleh SHalat Jumat Oleh Perusahaan China,pekerja lokal tambang nikel tidak boleh shalat jumat oleh perusahaan china,pekerja lokal tambang nikel tidak boleh shalat jumat oleh perusahaan china,2,2
H-136,Pasien Peserta BPJS Rawat Inap Pindah Ke Gerbang Tol,pasien peserta bpjs rawat inap pindah ke gerbang tol,pasien peserta bpjs rawat inap pindah ke gerbang tol,2,2
H-137,Hoax adalah Berita yang Tidak Sesuai dengan Kepentingan Penguasa,hoax adalah berita yang tidak sesuai dengan kepentingan penguasa,hoaks adalah berita yang tidak sesuai dengan kepentingan penguasa,2,2
H-138,Foto Anak Perempuan yang Dikabarkan Hilang Sekarang Sudah Berada di Polsek Citeureup Bogor,foto anak perempuan yang dikabarkan hilang sekarang sudah berada di polsek citeureup bogor,foto anak perempuan yang dikabarkan hilang sekarang sudah berada di polsek citeureup bogor,2,2
H-139,"Usai Pidato Kebangsaan, Hasil Survei Prabowo – Sandi 67,8%",usai pidato kebangsaan hasil survei prabowo sandi 678,usai pidato kebangsaan hasil survei Prabowo sandi 678,2,2
H-140,Ijazah SMA Presiden Joko Widodo Palsu.,ijazah sma presiden joko widodo palsu,ijazah sma presiden joko Widodo palsu,2,2
H-141,JAGAN KETAWA. KETAWANYA DALAM HATI AJA,jagan ketawa ketawanya dalam hati aja,jangan ketawa ketawanya dalam hati aja,2,2
H-142,Tidak Ada Teman Satu Kelas atau Satu Angkatan Kuliah di Fakultas Kehutanan UGM yang Memberikan Testimoni tentang Jokowi,tidak ada teman satu kelas atau satu angkatan kuliah di fakultas kehutanan ugm yang memberikan testimoni tentang jokowi,tidak ada teman satu kelas atau satu angkatan kuliah di fakultas kehutanan ugm yang memberikan testimoni tentang Jokowi,2,2
H-143,Jadi sudah tau kan kalau rezim jokowi anti islam,jadi sudah tau kan kalau rezim jokowi anti islam,jadi sudah tau kan kalau rezim Jokowi anti islam,2,2
H-144,Kapal Tenggelam di Danau Toba,kapal tenggelam di danau toba,kapal tenggelam di danau toba,2,2
H-145,Pemegang Flyer Bernama Pujiastuti Hastasiwi,pemegang flyer bernama pujiastuti hastasiwi,pemegang flyer bernama pujiastuti hastasiwi,2,2
H-146,Lagi heboh hari ini #putihkansolo,lagi heboh hari ini,lagi heboh hari ini,2,2
H-147,Agnez Mo JAHAP,agnez mo jahap,agnez mau jahap,2,2
H-148,Panglima TNI salam dua jari biarkan cebong bunuh diri,panglima tni salam dua jari biarkan cebong bunuh diri,panglima tni salam dua jari biarkan cebong bunuh diri,2,2
H-149,Ayo diralat lagi Kebijakannya,ayo diralat lagi kebijakannya,ayo diralat lagi kebijakannya,2,2
H-150,Simbol Jari Telunjuk dan Jempol adalah Dukungan Secara Tak Sadar dari Kampret untuk Jokowi,simbol jari telunjuk dan jempol adalah dukungan secara tak sadar dari kampret untuk jokowi,simbol jari telunjuk dan jempol adalah dukungan secara tak sadar dari kampret untuk Jokowi,2,2
H-151,setelah mau pilihan pilres buru buru adakan sidak,setelah mau pilihan pilres buru buru adakan sidak,setelah mau pilihan pilres buru buru adakan sidak,2,2
H-152,"PUJI PIDATO PRABOWO, ERDOGAN : SOEKARNO BARU AKAN MUNCUL DI INDONESIA",puji pidato prabowo erdogan soekarno baru akan muncul di indonesia,puji pidato Prabowo erdogan soekarno baru akan muncul di indonesia,2,2
H-153,Jadi yang Antek Jongos dan Budak Asing itu siapa?,jadi yang antek jongos dan budak asing itu siapa,jadi yang antek jongos dan budak asing itu siapa,2,2
H-154,Saya kira ini tanda-tanda,saya kira ini tandatanda,saya kira ini tandatanda,2,2
H-155,Pria Bule yang Hadir pada Debat Pilpres Perdana ialah Konsultan Politik Prabowo – Sandi,pria bule yang hadir pada debat pilpres perdana ialah konsultan politik prabowo sandi,pria bule yang hadir pada debat pilpres perdana ialah konsultan politik Prabowo sandi,2,2
H-156,udeh kronis amat ame 2JARI,udeh kronis amat ame 2jari,udeh kronis amat ame 2jari,2,2
H-157,Tusuk Gigi dan Kunyit Pendeteksi Borax,tusuk gigi dan kunyit pendeteksi borax,tusuk gigi dan kunyit pendeteksi borax,2,2
H-158,Sudah menyebar didiamkan pula,sudah menyebar didiamkan pula,sudah menyebar didiamkan pula,2,2
H-159,Slogan Bersatu Keselamatan No. 1,slogan bersatu keselamatan no 1,slogan bersatu keselamatan no 1,2,2
H-160,Poster Habib Rizieq Shihab Tarik Dukungan Terhadap Prabowo,poster habib rizieq shihab tarik dukungan terhadap prabowo,poster habib rizieq shihab tarik dukungan terhadap Prabowo,2,2
H-161,Sby akhirnya mendukung kerja pemerintah jokowi,sby akhirnya mendukung kerja pemerintah jokowi,Surabaya akhirnya mendukung kerja pemerintah Jokowi,2,2
H-162,Menari diatas penderitaan rakyat,menari diatas penderitaan rakyat,menari di atas penderitaan rakyat,2,2
H-163,"Rizal Ramli : RI Berhutang Lagi Yield 11,625%, 4 Maret 2019",rizal ramli ri berhutang lagi yield 11625 4 maret 2019,rizal ramli ri berhutang lagi yield 11625 4 maret 2019,2,2
H-164,Keluarga Gusdur mendukung penuh calon President 01,keluarga gusdur mendukung penuh calon president 01,keluarga gus dur mendukung penuh calon president 01,2,2
H-165,Jokowi akan Bekerja Sama dengan Beberapa Bank Menggunakan Dana Nasabah untuk Proyek Besar,jokowi akan bekerja sama dengan beberapa bank menggunakan dana nasabah untuk proyek besar,Jokowi akan bekerja sama dengan beberapa bank menggunakan dana nasabah untuk proyek besar,2,2
H-166,Kapten Leo Sianturi Ditelantarkan Rumah Sakit TNI,kapten leo sianturi ditelantarkan rumah sakit tni,kapten leo sianturi ditelantarkan rumah sakit tni,2,2
H-167,"Jokowi Bilang “PKI Tidak Bersalah, apalagi Mengancam”, Yang Berbahaya itu islam radikal",jokowi bilang pki tidak bersalah apalagi mengancam yang berbahaya itu islam radikal,Jokowi bilang pki tidak bersalah apalagi mengancam yang berbahaya itu islam radikal,2,2
H-168,orang Cina punya KTP Cilacap atas nama Karsono,orang cina punya ktp cilacap atas nama karsono,orang cina punya ktp cilacap atas nama karsono,2,2
H-169,Imbas ketidaksetaraan kesejahteraan gaji pekerja lokal dan TKA,imbas ketidaksetaraan kesejahteraan gaji pekerja lokal dan tka,imbas ketidaksetaraan kesejahteraan gaji pekerja lokal dan tka,2,2
H-170,Tulisan Lafadz Allah di Tisu Toilet,tulisan lafadz allah di tisu toilet,tulisan lafadz allah di tisu toilet,2,2
H-171,Video Operasi Karena Lintah di Kangkung,video operasi karena lintah di kangkung,video operasi karena lintah di kangkung,2,2
H-172,"Video Kapal Tenggelam di Perairan Kangean, Jawa Timur",video kapal tenggelam di perairan kangean jawa timur,video kapal tenggelam di perairan kangean jawa timur,2,2
H-173,SURAT UNDANGAN WORKSHOP PENDUKUNG JABATAN FUNGSIONAL PERENCANAAN (WORKSHOP PAK-APAK),surat undangan workshop pendukung jabatan fungsional perencanaan workshop pakapak,surat undangan workshop pendukung jabatan fungsional perencanaan workshop pakapak,2,2
H-174,Patung Ahok di museum lilin Madame Tussauds Hongkong,patung ahok di museum lilin madame tussauds hongkong,patung ahok di museum lilin madame tussauds Hong Kong,2,2
H-175,wiranto akan melakukan kecurangan terhadap peghitungan suara,wiranto akan melakukan kecurangan terhadap peghitungan suara,wiranto akan melakukan kecurangan terhadap peghitungan suara,2,2
H-176,Skema Kewaspadaan Umat : Ahok Diangkat Menjadi Wakil Presiden Lalu Menjadi Presiden.,skema kewaspadaan umat ahok diangkat menjadi wakil presiden lalu menjadi presiden,skema kewaspadaan umat ahok diangkat menjadi wakil presiden lalu menjadi presiden,2,2
H-177,Imigran China di Jakarta Dipulangkan Anies Baswedan ke Negara Asalnya,imigran china di jakarta dipulangkan anies baswedan ke negara asalnya,imigran china di jakarta dipulangkan anies Baswedan ke negara asalnya,2,2
H-178,Maimon Herawati : TOLAK RUU Pro Zina,maimon herawati tolak ruu pro zina,maimon herawati tolak ruu pro zina,2,2
H-179,Diduga Dibangun Pakai Material Kw 3 dari China,diduga dibangun pakai material kw 3 dari china,diduga dibangun pakai material kw 3 dari china,2,2
H-180,"Stroke Kambuh, Prabowo Batal Orasi Politik di Acara Fraksi PKS",stroke kambuh prabowo batal orasi politik di acara fraksi pks,stroke kambuh Prabowo batal orasi politik di acara fraksi pks,2,2
H-181,paham politik gak sih pak?,paham politik gak sih pak,paham politik gak sih pak,2,2
H-182,udang jadi tersangka,udang jadi tersangka,udang jadi tersangka,2,2
H-183,berSATU untuk nomor SATU,bersatu untuk nomor satu,bersatu untuk nomor satu,2,2
H-184,mengintimidasi ASN bawahannya,mengintimidasi asn bawahannya,mengintimidasi asn bawahannya,2,2
H-185,Polisi mulai intimidasi warga *InfoAkurat,polisi mulai intimidasi warga infoakurat,polisi mulai intimidasi warga infoakurat,2,2
H-186,Salam  dari MAHER ZAIN,salam dari maher zain,salam dari maher zain,2,2
H-187,Prabowo Shalat Jumat Di Mana? Kami Sudah Keliling Masjid Tapi Tak Ketemu,prabowo shalat jumat di mana kami sudah keliling masjid tapi tak ketemu,Prabowo shalat jumat di mana kami sudah keliling masjid tapi tak ketemu,2,2
H-188,Adanya Teroris di Minut Sulawesi Utara,adanya teroris di minut sulawesi utara,adanya teroris di minut sulawesi utara,2,2
H-189,Pesan Berantai Lazada Grand Prize Hadiah Ratusan Juta Rupiah,pesan berantai lazada grand prize hadiah ratusan juta rupiah,pesan berantai lazada grand prize hadiah ratusan juta rupiah,2,2
H-190,PSI Buat dan Pasang Spanduk yang Bertuliskan ‘Hargai Hak – Hak LGBT,psi buat dan pasang spanduk yang bertuliskan hargai hak hak lgbt,psi buat dan pasang spanduk yang bertuliskan hargai hak hak lgbt,2,2
H-191,JOKOWI JADI ORANG TERKAYA NOMOR 18 DI ASIA,jokowi jadi orang terkaya nomor 18 di asia,Jokowi jadi orang terkaya nomor 18 di asia,2,2
H-192,DITEMUKAN MAYAT MENGAMBANG DI DUDUKSAMPEYAN GRESIK,ditemukan mayat mengambang di duduksampeyan gresik,ditemukan mayat mengambang di duduksampeyan gresik,2,2
H-193,Pembuatan SIM Tanpa Tes pada 29 Februari 2019,pembuatan sim tanpa tes pada 29 februari 2019,pembuatan sim tanpa tes pada 29 februari 2019,2,2
H-194,"1 minggu kedepan padang hati hati dan waspada gempa 7,6 SR",1 minggu kedepan padang hati hati dan waspada gempa 76 sr,1 minggu ke depan padang hati hati dan waspada gempa 76 sr,2,2
H-195,"Tangkapan Layar Artikel “Web KPU Diretas, Temuan Mengejutan!! Jokowi Angkat Isu PKI",tangkapan layar artikel web kpu diretas temuan mengejutan jokowi angkat isu pki,tangkapan layar artikel web kpu diretas temuan mengejutan Jokowi angkat isu pki,2,2
H-196,KAMI OPTIMIS PAK JOKOWI TAK AKAN BOHONG DAN INGKAR JANJI LAGI,kami optimis pak jokowi tak akan bohong dan ingkar janji lagi,kami optimis pak Jokowi tak akan bohong dan ingkar janji lagi,2,2
H-197,Tes Merkuri pada Kosmetik Dengan Emas.,tes merkuri pada kosmetik dengan emas,tes merkuri pada kosmetik dengan emas,2,2
H-198,KORAN INGGRIS,koran inggris,koran inggris,2,2
H-199,KENAPA RAKYAT TAK BERONTAK,kenapa rakyat tak berontak,kenapa rakyat tak berontak,2,2
H-200,bu Hamil Dilarang Nonton Gerhana karena Bahaya,bu hamil dilarang nonton gerhana karena bahaya,bu hamil dilarang nonton gerhana karena bahaya,2,2
H-201,Cara Pemakaian Masker Yang Benar,cara pemakaian masker yang benar,cara pemakaian masker yang benar,2,2
H-202,Postingan Facebook Tutut Soeharto yang Menyindir Jokowi Tentang Pembangunan Jalan Tol,postingan facebook tutut soeharto yang menyindir jokowi tentang pembangunan jalan tol,postingan Facebook tutut soeharto yang menyindir Jokowi tentang pembangunan jalan tol,2,2
H-203,SERTIFIKAT GANDA KERJA REZIM JOKOWI,sertifikat ganda kerja rezim jokowi,sertifikat ganda kerja rezim Jokowi,2,2
H-204,Es Krim Magnum Mengandung Babi,es krim magnum mengandung babi,es krim magnum mengandung babi,2,2
H-205,Alasan Din Syamsuddin Mundur Dari Utusan Khusus Presiden,alasan din syamsuddin mundur dari utusan khusus presiden,alasan din syamsuddin mundur dari utusan khusus presiden,2,2
H-206,PENANKAPAN TERDUGA TERORIS DI WILAYAH DESA RUMAH TIGA,penankapan terduga teroris di wilayah desa rumah tiga,penankapan terduga teroris di wilayah desa rumah tiga,2,2
H-207,SMS Dukungan Buat Jokowi di Pilpres 2019,sms dukungan buat jokowi di pilpres 2019,sms dukungan buat Jokowi di pilpres 2019,2,2
H-208,TERJADI AKSI BEGAL DI WILAYAH LIMUNJAN BERAU,terjadi aksi begal di wilayah limunjan berau,terjadi aksi begal di wilayah limunjan berau,2,2
H-209,Foto Gajah Menolong Anak Singa Dengan Belalainya.,foto gajah menolong anak singa dengan belalainya,foto gajah menolong anak singa dengan belalainya,2,2
H-210,Kaesang Kenakan Kaus Oblong Hitam Berlogo Palu Arit,kaesang kenakan kaus oblong hitam berlogo palu arit,kaesang kenakan kaus oblong hitam berlogo palu arit,2,2
H-211,Pawai penyambutan Pak Prabowo di Bandung,pawai penyambutan pak prabowo di bandung,pawai penyambutan pak Prabowo di bandung,2,2
H-212,Ellen DeGeneres Bagi-Bagi Hadiah Valentine di Facebook ( Is Ellen Degeneres Holding a Facebook Giveaway? ),ellen degeneres bagibagi hadiah valentine di facebook is ellen degeneres holding a facebook giveaway,ellen degeneres bagibagi hadiah valentine di Facebook adalah ellen degeneres holding a Facebook giveaway,2,2
H-213,Tentara merah RRC di pluit jkt,tentara merah rrc di pluit jkt,tentara merah rrc di pluit Jakarta,2,2
H-214,Terakhir yang diketahui adalah terhadap Sam Lokon anggota KNPB,terakhir yang diketahui adalah terhadap sam lokon anggota knpb,terakhir yang diketahui adalah terhadap sam lokon anggota knpb,2,2
H-215,Ustaz Abdul Somad Mengacungkan Jari 1 Mendukung Jokowi,ustaz abdul somad mengacungkan jari 1 mendukung jokowi,ustaz abdul somad mengacungkan jari 1 mendukung Jokowi,2,2
H-216,Memasak Popcorn Dengan Ponsel,memasak popcorn dengan ponsel,memasak popcorn dengan ponsel,2,2
H-217,Bocoran Informasi Penting Valid Pola Kecurangan Sistem Penghitungan Suara KPU Dengan Modus Nomor 01 dan 02,bocoran informasi penting valid pola kecurangan sistem penghitungan suara kpu dengan modus nomor 01 dan 02,bocoran informasi penting valid pola kecurangan sistem penghitungan suara kpu dengan modus nomor 01 dan 02,2,2
H-218,Bahaya Semut/Kutu Jepang utk DIABETES.,bahaya semutkutu jepang utk diabetes,bahaya semutkutu jepang untuk diabetes,2,2
H-219,"Waspada, indikasi nyata PKI mulai bangkit",waspada indikasi nyata pki mulai bangkit,waspada indikasi nyata pki mulai bangkit,2,2
H-220,"Alinka Humaira Nurhanzah, cucunya ibu Hj. Kesah barusan di culik",alinka humaira nurhanzah cucunya ibu hj kesah barusan di culik,alinka humaira nurhanzah cucunya ibu hj kesah barusan di culik,2,2
H-221,Hari ini terjadi di Malaka-Malaysia,hari ini terjadi di malakamalaysia,hari ini terjadi di malakamalaysia,2,2
H-222,Kuaci Direbus dengan Tulang Babi,kuaci direbus dengan tulang babi,kuaci direbus dengan tulang babi,2,2
H-223,Tilang CCTV Depok Akan Diterapkan,tilang cctv depok akan diterapkan,tilang cctv depok akan diterapkan,2,2
H-224,"TERIAK JOKOWI DUA PERIODE, LELAKI INI DIHAJAR WARGA, BONYOK DEHHH…",teriak jokowi dua periode lelaki ini dihajar warga bonyok dehhh,teriak Jokowi dua periode lelaki ini dipukul warga bonyok deh,2,2
H-225,Santriwati ponpes Al-Fattah Temboro dukung Prabowo – Sandi,santriwati ponpes alfattah temboro dukung prabowo sandi,santriwati ponpes alfattah temboro dukung Prabowo sandi,2,2
H-226,Detik.com Beritakan Ketua Umum PSI Nyatakan Siap Menjadi Menteri Kabinet Kerja Jokowi,detikcom beritakan ketua umum psi nyatakan siap menjadi menteri kabinet kerja jokowi,detikcom beritakan ketua umum psi nyatakan siap menjadi menteri kabinet kerja Jokowi,2,2
H-227,Ali Mochtar Ngabalin Diserang Stroke Karena Doanya Sendiri,ali mochtar ngabalin diserang stroke karena doanya sendiri,ali mochtar ngabalin diserang stroke karena doanya sendiri,2,2
H-228,telah disahkan UUD LGBT,telah disahkan uud lgbt,telah disahkan undang-undang lgbt,2,2
H-229,Tulisan Ridwan Kamil : “NIAT BUSUK KUBU SEBELAH SEJAK 2014”,tulisan ridwan kamil niat busuk kubu sebelah sejak 2014,tulisan Ridwan kamil niat busuk kubu sebelah sejak 2014,2,2
H-230,Ma’ruf Amin Sebut Memilih Jokowi dengan Dirinya Sama Saja Sudah Mengantongi Tiket Surga,maruf amin sebut memilih jokowi dengan dirinya sama saja sudah mengantongi tiket surga,ma'ruf amin sebut memilih Jokowi dengan dirinya sama saja sudah mengantongi tiket surga,2,2
H-231,HANYA DI TV MNC GRUP ADZAN MAGHRIB DIGANTI IKLAN,hanya di tv mnc grup adzan maghrib diganti iklan,hanya di tv mnc grup adzan maghrib diganti iklan,2,2
H-232,Munir Dibunuh Setelah Menyatakan Prabowo Tidak Bersalah,munir dibunuh setelah menyatakan prabowo tidak bersalah,munir dibunuh setelah menyatakan Prabowo tidak bersalah,2,2
H-233,Rakyat Cina Sudah Mendatangi KPU Surabaya untuk Daftar Sebagai DPT Pemilu,rakyat cina sudah mendatangi kpu surabaya untuk daftar sebagai dpt pemilu,rakyat cina sudah mendatangi kpu surabaya untuk daftar sebagai dpt pemilu,2,2
H-234,SBY suruh coblos nomor 01 @Jokowi Amin,sby suruh coblos nomor 01 mention_user amin,Surabaya suruh coblos nomor 01 mention_user amin,2,2
H-235,whatsapp akan mengumpulkan dana setiap kali gambar dibagikan,whatsapp akan mengumpulkan dana setiap kali gambar dibagikan,WhatsApp akan mengumpulkan dana setiap kali gambar dibagikan,2,2
H-236,Prabowo Gunakan Kacamata Google Glass untuk Contek Jawaban di Debat Pilpres Kedua,prabowo gunakan kacamata google glass untuk contek jawaban di debat pilpres kedua,Prabowo gunakan kacamata Google glass untuk contek jawaban di debat pilpres kedua,2,2
H-237,ALAT BANTU PAK DE CANGGIH,alat bantu pak de canggih,alat bantu pak de canggih,2,2
H-238,Terdapat obat bius di daun teh Tiek Kwan Im,terdapat obat bius di daun teh tiek kwan im,terdapat obat bius di daun teh tiek kawan saya,2,2
H-239,"Disindir Jokowi, Hotman Paris: Prabowo Rebut Tanah Itu Dari Asing",disindir jokowi hotman paris prabowo rebut tanah itu dari asing,disindir Jokowi hotman paris Prabowo rebut tanah itu dari asing,2,2
